part_no,loop,x,y,point_kind,label,abs_dev_s5,abs_dev_s15,abs_dev_s40,grad_s5,grad_s15,grad_s40,dist_sign_boundary,dist_edge,local_std,rule_strength
64XX2,product_outer,967.0,535.0,exact,1,2.0,1.8399467468261719,1.4349108934402466,0.0006961852195672691,1.9926937818527222,1.7841068506240845,59.420623779296875,0.0,0.0,9.9
64XX2,product_outer,345.66667,172.66667,interpolated,0,0.10177046060562134,0.019552268087863922,0.3544226586818695,2.806020498275757,1.9664493799209595,1.4992817640304565,0.9549999833106995,25.78499984741211,0.25100177526474,0.2
64XX2,product_outer,293.57143,207.42857,interpolated,0,0.1682562530040741,0.06809503585100174,0.15554684400558472,2.6898651123046875,0.7049511671066284,0.73228520154953,7.801499843597412,66.85006713867188,0.2052619606256485,0.2
64XX2,product_outer,201.66667,262.66667,interpolated,0,0.3608521521091461,0.31980079412460327,0.25384581089019775,1.8713889122009277,1.099738359451294,1.6607929468154907,17.190000534057617,5.730000019073486,0.41987451910972595,0.1
64XX2,product_outer,185.30769,266.76923,interpolated,0,0.36437180638313293,0.04800796136260033,0.5215182900428772,2.956214666366577,4.5512166023254395,2.309382915496826,0.9549999833106995,5.062900066375732,0.7649030685424805,0.1
64XX2,product_outer,126.32,527.72,interpolated,0,2.0,1.999999761581421,1.9876781702041626,0.0,2.6226043701171875e-06,0.065291628241539,155.88955688476562,0.0,0.0,0.9
64XX2,product_outer,382.33333,536.22222,interpolated,1,2.0,1.8133831024169922,1.4755017757415771,1.2779324606526643e-05,2.0772783756256104,1.6642860174179077,72.82573699951172,0.0,0.0,0.2
64XX2,product_outer,1122.93333,528.06667,interpolated,0,2.0,1.983837366104126,1.9253811836242676,0.0,0.22675877809524536,0.24135760962963104,128.61614990234375,0.0,0.0,0.7
64XX2,product_outer,1130.07692,502.61538,interpolated,0,2.0,1.959449291229248,1.8708808422088623,8.559857633372303e-06,0.5817970633506775,0.4221603572368622,101.84101104736328,0.0,0.0,0.6
64XX2,product_outer,1130.33333,446.33333,interpolated,0,1.4037917852401733,1.704965353012085,1.4331920146942139,6.995977401733398,1.4938551187515259,1.6703959703445435,47.405906677246094,0.0,0.9373845458030701,0.1
64XX2,product_outer,982.33333,234.33333,interpolated,1,0.013690858148038387,0.06479927897453308,0.24976631999015808,4.361732482910156,1.3913874626159668,0.3374275267124176,8.88290023803711,3.2792999744415283,0.2857990562915802,0.1
